County,Region,State,Above or Below?,Avg. Adult Obesity (% of pop),Avg. Adult Smokers (% of pop),Avg. Food Insecure (% of pop),Avg. Physically Inactive (% of pop),Avg. Regional Obesity Rate,Latitude (generated),Longitude (generated)
Dane,Midwest,Wisconsin,10% below,22%,13%,12%,15%,32%,43.073,-89.4247
Johnson,Midwest,Iowa,9% below,23%,17%,14%,16%,32%,41.645,-91.5998
Hennepin,Midwest,Minnesota,9% below,23%,14%,12%,17%,32%,45.012,-93.4873
Johnson,Midwest,Kansas,9% below,23%,13%,12%,18%,32%,38.9038,-94.8319
Douglas,Midwest,Kansas,9% below,23%,17%,17%,19%,32%,38.8991,-95.2782
Olmsted,Midwest,Minnesota,8% below,24%,13%,9%,20%,32%,44.0156,-92.3784
DuPage,Midwest,Illinois,8% below,24%,12%,9%,18%,32%,41.8389,-88.091
Carver,Midwest,Minnesota,8% below,24%,13%,7%,16%,32%,44.8101,-93.7653
Riley,Midwest,Kansas,8% below,24%,17%,19%,17%,32%,39.3056,-96.8015
Scott,Midwest,Minnesota,7% below,25%,14%,7%,17%,32%,44.6795,-93.5028
Cook,Midwest,Illinois,7% below,25%,16%,15%,20%,32%,41.8129,-87.7536
Koochiching,Midwest,Minnesota,7% below,25%,17%,13%,27%,32%,48.3081,-93.7598
Lawrence,Midwest,South Dakota,7% below,25%,15%,13%,23%,32%,44.3682,-103.8124
Ramsey,Midwest,Minnesota,7% below,25%,16%,13%,18%,32%,45.0067,-93.0961
Winneshiek,Midwest,Iowa,7% below,25%,15%,11%,21%,32%,43.2932,-91.8426
La Crosse,Midwest,Wisconsin,7% below,25%,16%,12%,21%,32%,43.9075,-91.1276
Knox,Midwest,Illinois,7% below,25%,17%,15%,26%,32%,40.9298,-90.2134
Houston,Midwest,Minnesota,6% below,26%,16%,10%,25%,32%,43.6745,-91.5014
St. Louis,Midwest,Minnesota,6% below,26%,19%,13%,19%,32%,47.6532,-92.4287
Meade,Midwest,Kansas,6% below,26%,15%,11%,26%,32%,37.2402,-100.3633
Story,Midwest,Iowa,6% below,26%,17%,15%,20%,32%,42.037,-93.4652
Washington,Midwest,Minnesota,6% below,26%,13%,8%,18%,32%,45.0213,-92.8735
Kane,Midwest,Illinois,6% below,26%,14%,9%,19%,32%,41.9379,-88.4322
Waupaca,Midwest,Wisconsin,6% below,26%,16%,11%,25%,32%,44.4525,-88.9801
Dakota,Midwest,Minnesota,6% below,26%,14%,9%,17%,32%,44.6986,-93.0252
Cherry,Midwest,Nebraska,6% below,26%,16%,13%,31%,32%,42.5459,-101.125
Lancaster,Midwest,Nebraska,6% below,26%,16%,14%,19%,32%,40.7872,-96.6872
Fillmore,Midwest,Minnesota,6% below,26%,16%,10%,21%,32%,43.6761,-92.0901
Douglas,Midwest,Minnesota,6% below,26%,15%,10%,22%,32%,45.9337,-95.4525
Perkins,Midwest,Nebraska,6% below,26%,14%,10%,24%,32%,40.8495,-101.6496
Cook,Midwest,Minnesota,6% below,26%,17%,10%,20%,32%,47.8562,-90.4756
Pennington,Midwest,Minnesota,5% below,27%,16%,11%,22%,32%,48.0653,-96.0466
Butte,Midwest,South Dakota,5% below,27%,17%,11%,24%,32%,44.8942,-103.5074
Faribault,Midwest,Minnesota,5% below,27%,15%,10%,26%,32%,43.6808,-93.9481
Champaign,Midwest,Illinois,5% below,27%,17%,17%,21%,32%,40.1363,-88.2017
Kanabec,Midwest,Minnesota,5% below,27%,18%,12%,23%,32%,45.9423,-93.3307
Whiteside,Midwest,Illinois,5% below,27%,16%,12%,26%,32%,41.7565,-89.9385
Walworth,Midwest,Wisconsin,5% below,27%,17%,11%,26%,32%,42.6678,-88.5413
Waukesha,Midwest,Wisconsin,5% below,27%,13%,9%,17%,32%,43.0181,-88.3044
Rice,Midwest,Minnesota,5% below,27%,16%,10%,22%,32%,44.3629,-93.2822
Antelope,Midwest,Nebraska,5% below,27%,15%,12%,28%,32%,42.1782,-98.0677
Hooker,Midwest,Nebraska,5% below,27%,15%,12%,27%,32%,41.9192,-101.1349
Aitkin,Midwest,Minnesota,5% below,27%,16%,11%,29%,32%,46.6066,-93.4206
Deuel,Midwest,Nebraska,5% below,27%,16%,12%,27%,32%,41.1098,-102.3332
Winona,Midwest,Minnesota,5% below,27%,17%,11%,21%,32%,44.0197,-91.795
Chase,Midwest,Nebraska,5% below,27%,14%,11%,27%,32%,40.5299,-101.698
Stearns,Midwest,Minnesota,5% below,27%,15%,11%,21%,32%,45.5294,-94.6407
Brown,Midwest,Wisconsin,5% below,27%,16%,11%,21%,32%,44.4646,-87.9779
Morgan,Midwest,Missouri,5% below,27%,22%,17%,27%,32%,38.4384,-92.852
Ozaukee,Midwest,Wisconsin,5% below,27%,13%,9%,21%,32%,43.3679,-87.9585
Cass,Midwest,North Dakota,5% below,27%,16%,10%,21%,32%,46.9355,-97.2363
Saunders,Midwest,Nebraska,5% below,27%,16%,11%,27%,32%,41.2345,-96.6371
Sherburne,Midwest,Minnesota,5% below,27%,16%,9%,22%,32%,45.4032,-93.7579
Boone,Midwest,Missouri,5% below,27%,20%,17%,20%,32%,38.9469,-92.3414
Otter Tail,Midwest,Minnesota,5% below,27%,15%,10%,22%,32%,46.411,-95.718
Kandiyohi,Midwest,Minnesota,5% below,27%,16%,10%,23%,32%,45.1587,-95.0019
Vilas,Midwest,Wisconsin,5% below,27%,17%,14%,20%,32%,46.0789,-89.4371
DeKalb,Midwest,Illinois,5% below,27%,17%,15%,22%,32%,41.8825,-88.7714
Cass,Midwest,Minnesota,5% below,27%,18%,12%,24%,32%,46.8828,-94.2174
McCook,Midwest,South Dakota,4% below,28%,14%,10%,28%,32%,43.6809,-97.368
Sheboygan,Midwest,Wisconsin,4% below,28%,15%,11%,24%,32%,43.715,-87.9328
Pipestone,Midwest,Minnesota,4% below,28%,16%,10%,25%,32%,44.0241,-96.2588
Garfield,Midwest,Nebraska,4% below,28%,15%,13%,28%,32%,41.9211,-98.9916
Blaine,Midwest,Nebraska,4% below,28%,16%,16%,27%,32%,41.913,-99.9765
St. Louis,Midwest,Missouri,4% below,28%,17%,16%,23%,32%,38.6443,-90.5089
Isanti,Midwest,Minnesota,4% below,28%,17%,10%,20%,32%,45.5694,-93.3266
Hubbard,Midwest,Minnesota,4% below,28%,17%,11%,23%,32%,47.1112,-94.9167
Pennington,Midwest,South Dakota,4% below,28%,18%,12%,21%,32%,44.0997,-103.0311
Iowa,Midwest,Wisconsin,4% below,28%,15%,11%,22%,32%,43.0094,-90.1334
Sioux,Midwest,Iowa,4% below,28%,15%,9%,25%,32%,43.0847,-96.1572
Dubuque,Midwest,Iowa,4% below,28%,16%,12%,23%,32%,42.485,-90.8953
Hanson,Midwest,South Dakota,4% below,28%,17%,11%,26%,32%,43.676,-97.7865
Jefferson,Midwest,Iowa,4% below,28%,17%,13%,23%,32%,41.036,-91.9487
Dodge,Midwest,Wisconsin,4% below,28%,17%,11%,23%,32%,43.413,-88.7032
Coles,Midwest,Illinois,4% below,28%,20%,17%,24%,32%,39.5297,-88.2167
Door,Midwest,Wisconsin,4% below,28%,15%,12%,22%,32%,44.9881,-87.267
Brown,Midwest,Minnesota,4% below,28%,15%,10%,21%,32%,44.3034,-94.6524
Clinton,Midwest,Illinois,4% below,28%,15%,11%,30%,32%,38.5805,-89.4237
Keya Paha,Midwest,Nebraska,4% below,28%,15%,14%,35%,32%,42.8582,-99.7277
Wheeler,Midwest,Nebraska,4% below,28%,17%,14%,29%,32%,41.9144,-98.5281
Ashland,Midwest,Wisconsin,4% below,28%,20%,15%,23%,32%,46.3491,-90.7366
Boone,Midwest,Nebraska,4% below,28%,14%,12%,29%,32%,41.6949,-98.0609
Brookings,Midwest,South Dakota,4% below,28%,14%,14%,20%,32%,44.3681,-96.7905
McHenry,Midwest,Illinois,4% below,28%,16%,9%,22%,32%,42.3249,-88.4523
Minnehaha,Midwest,South Dakota,4% below,28%,17%,12%,23%,32%,43.6819,-96.7914
Andrew,Midwest,Missouri,4% below,28%,18%,13%,32%,32%,39.9749,-94.8019
Cedar,Midwest,Nebraska,4% below,28%,14%,11%,29%,32%,42.609,-97.2505
Clay,Midwest,Minnesota,4% below,28%,16%,10%,23%,32%,46.8912,-96.4728
Swift,Midwest,Minnesota,4% below,28%,16%,10%,28%,32%,45.2755,-95.6862
Keith,Midwest,Nebraska,4% below,28%,17%,12%,29%,32%,41.1991,-101.6629
Dawes,Midwest,Nebraska,4% below,28%,17%,15%,28%,32%,42.7214,-103.1269
Blue Earth,Midwest,Minnesota,4% below,28%,18%,12%,19%,32%,44.0567,-94.0688
Will,Midwest,Illinois,4% below,28%,15%,10%,24%,32%,41.4662,-87.8889
Rock,Midwest,Minnesota,4% below,28%,15%,10%,22%,32%,43.6746,-96.2532
Winnebago,Midwest,Wisconsin,4% below,28%,15%,12%,23%,32%,44.0677,-88.6452
Phillips,Midwest,Kansas,4% below,28%,16%,13%,31%,32%,39.7853,-99.3468
Wadena,Midwest,Minnesota,4% below,28%,17%,13%,21%,32%,46.59,-94.9678
Meade,Midwest,South Dakota,4% below,28%,18%,11%,25%,32%,44.5827,-102.7842
Carlton,Midwest,Minnesota,4% below,28%,19%,11%,20%,32%,46.6091,-92.6775
Camden,Midwest,Missouri,4% below,28%,20%,16%,24%,32%,38.0296,-92.7914
Slope,Midwest,North Dakota,4% below,28%,16%,4%,29%,32%,46.459,-103.4853
Butler,Midwest,Nebraska,4% below,28%,16%,12%,24%,32%,41.2578,-97.1385
Bayfield,Midwest,Wisconsin,4% below,28%,17%,13%,21%,32%,46.5601,-91.2402
Douglas,Midwest,Nebraska,4% below,28%,17%,14%,22%,32%,41.2919,-96.1502
Benton,Midwest,Minnesota,4% below,28%,18%,12%,22%,32%,45.6899,-93.9838
Lincoln,Midwest,South Dakota,4% below,28%,15%,9%,22%,32%,43.2924,-96.7518
Lake,Midwest,Minnesota,4% below,28%,15%,11%,20%,32%,47.5746,-91.4059
Yellow Medicine,Midwest,Minnesota,4% below,28%,15%,10%,22%,32%,44.7393,-95.9397
Steele,Midwest,Minnesota,4% below,28%,16%,9%,19%,32%,44.0223,-93.2259
St. Charles,Midwest,Missouri,4% below,28%,16%,12%,21%,32%,38.7506,-90.7313
Cheyenne,Midwest,Nebraska,4% below,28%,17%,13%,26%,32%,41.2207,-102.9933
Livingston,Midwest,Missouri,4% below,28%,20%,16%,29%,32%,39.7889,-93.5615
St. Croix,Midwest,Wisconsin,4% below,28%,15%,9%,23%,32%,45.0351,-92.4543
Meeker,Midwest,Minnesota,4% below,28%,16%,10%,25%,32%,45.0974,-94.5065
Wright,Midwest,Minnesota,4% below,28%,16%,8%,19%,32%,45.2011,-93.9507
Sawyer,Midwest,Wisconsin,4% below,28%,20%,15%,27%,32%,45.902,-91.1097
Nodaway,Midwest,Missouri,4% below,28%,22%,19%,30%,32%,40.3528,-94.8889
Yankton,Midwest,South Dakota,4% below,29%,15%,12%,21%,32%,42.9885,-97.3979
Walworth,Midwest,South Dakota,4% below,29%,15%,13%,30%,32%,45.4185,-100.0052
LaSalle,Midwest,Illinois,4% below,29%,16%,13%,26%,32%,41.2787,-88.8759
Washburn,Midwest,Wisconsin,4% below,29%,16%,12%,25%,32%,45.9017,-91.7871
Chippewa,Midwest,Wisconsin,4% below,29%,16%,12%,20%,32%,45.0767,-91.2876
McDonald,Midwest,Missouri,4% below,29%,24%,16%,34%,32%,36.6379,-94.3448
Ogle,Midwest,Illinois,3% below,29%,16%,13%,23%,32%,42.046,-89.3137
Oconto,Midwest,Wisconsin,3% below,29%,16%,11%,25%,32%,45.0268,-88.3037
Logan,Midwest,Nebraska,3% below,29%,16%,12%,30%,32%,41.5947,-100.4834
Langlade,Midwest,Wisconsin,3% below,29%,16%,13%,23%,32%,45.2517,-89.0523
Peoria,Midwest,Illinois,3% below,29%,16%,17%,25%,32%,40.7421,-89.7691
Divide,Midwest,North Dakota,3% below,29%,16%,5%,36%,32%,48.8178,-103.4942
Greene,Midwest,Iowa,3% below,29%,17%,12%,30%,32%,42.0384,-94.397
Nobles,Midwest,Minnesota,3% below,29%,17%,8%,28%,32%,43.6789,-95.7531
Mahnomen,Midwest,Minnesota,3% below,29%,25%,14%,29%,32%,47.327,-95.809
Custer,Midwest,South Dakota,3% below,29%,13%,11%,23%,32%,43.6671,-103.4818
Jerauld,Midwest,South Dakota,3% below,29%,14%,10%,28%,32%,44.0666,-98.6291
Republic,Midwest,Kansas,3% below,29%,16%,13%,35%,32%,39.8302,-97.6509
Kidder,Midwest,North Dakota,3% below,29%,17%,8%,29%,32%,46.9801,-99.7608
Beltrami,Midwest,Minnesota,3% below,29%,19%,14%,23%,32%,47.9786,-94.8401
Greene,Midwest,Missouri,3% below,29%,20%,17%,22%,32%,37.2588,-93.3336
Kay,Midwest,Oklahoma,3% below,29%,22%,17%,30%,32%,36.8036,-97.1074
Dodge,Midwest,Minnesota,3% below,29%,15%,8%,18%,32%,44.0246,-92.8619
Lake of the Woods,Midwest,Minnesota,3% below,29%,16%,9%,26%,32%,48.8792,-94.8873
Cass,Midwest,Illinois,3% below,29%,16%,12%,25%,32%,39.9992,-90.2462
Stephenson,Midwest,Illinois,3% below,29%,16%,16%,26%,32%,42.3498,-89.6607
Keokuk,Midwest,Iowa,3% below,29%,17%,12%,30%,32%,41.3368,-92.1791
Black Hawk,Midwest,Iowa,3% below,29%,17%,15%,24%,32%,42.4762,-92.318
Stark,Midwest,North Dakota,3% below,29%,17%,5%,26%,32%,46.826,-102.6639
McHenry,Midwest,North Dakota,3% below,29%,17%,8%,29%,32%,48.2442,-100.6258
Burnett,Midwest,Wisconsin,3% below,29%,18%,13%,26%,32%,45.8994,-92.363
Clay,Midwest,Missouri,3% below,29%,19%,14%,24%,32%,39.2858,-94.4063
Ste. Genevieve,Midwest,Missouri,3% below,29%,20%,14%,29%,32%,37.8995,-90.1973
Cuming,Midwest,Nebraska,3% below,29%,14%,12%,25%,32%,41.9158,-96.7875
Sarpy,Midwest,Nebraska,3% below,29%,15%,11%,20%,32%,41.0929,-96.1005
Lincoln,Midwest,Minnesota,3% below,29%,15%,9%,25%,32%,44.408,-96.2656
Iron,Midwest,Wisconsin,3% below,29%,17%,15%,21%,32%,46.287,-90.2401
Grant,Midwest,Nebraska,3% below,29%,17%,14%,32%,32%,41.9195,-101.7466
Tazewell,Midwest,Illinois,3% below,29%,15%,12%,26%,32%,40.5355,-89.5459
McLean,Midwest,Illinois,3% below,29%,16%,13%,22%,32%,40.5209,-88.8633
Montgomery,Midwest,Illinois,3% below,29%,16%,16%,25%,32%,39.2602,-89.4209
Grand Forks,Midwest,North Dakota,3% below,29%,19%,10%,22%,32%,47.9349,-97.4592
Jo Daviess,Midwest,Illinois,3% below,29%,14%,11%,28%,32%,42.3507,-90.1821
Seward,Midwest,Nebraska,3% below,29%,14%,12%,23%,32%,40.8792,-97.1394
Lake,Midwest,Illinois,3% below,29%,14%,9%,20%,32%,42.3243,-88.0155
Grundy,Midwest,Iowa,3% below,29%,15%,10%,27%,32%,42.3803,-92.7681
Hancock,Midwest,Illinois,3% below,29%,15%,14%,29%,32%,40.4172,-91.1408
Kingfisher,Midwest,Oklahoma,3% below,29%,17%,11%,29%,32%,35.9457,-97.9428
Golden Valley,Midwest,North Dakota,3% below,29%,18%,8%,33%,32%,46.9383,-103.8277
McDonough,Midwest,Illinois,3% below,29%,19%,17%,23%,32%,40.4649,-90.6775
Douglas,Midwest,South Dakota,3% below,29%,15%,11%,26%,32%,43.3497,-98.3573
Lyon,Midwest,Minnesota,3% below,29%,15%,11%,17%,32%,44.4074,-95.8367
Kittson,Midwest,Minnesota,3% below,29%,16%,10%,29%,32%,48.7724,-96.7786
Jefferson,Midwest,Wisconsin,3% below,29%,16%,11%,17%,32%,43.0217,-88.7768
Todd,Midwest,Minnesota,3% below,29%,17%,10%,26%,32%,46.0722,-94.897
Stevens,Midwest,Minnesota,3% below,29%,17%,10%,22%,32%,45.5888,-96.0058
Polk,Midwest,Iowa,3% below,29%,19%,12%,22%,32%,41.6673,-93.5815
Warren,Midwest,Missouri,3% below,29%,19%,14%,31%,32%,38.7692,-91.1898
Clay,Midwest,South Dakota,3% below,29%,20%,16%,22%,32%,42.888,-96.9833
Calumet,Midwest,Wisconsin,3% below,29%,14%,9%,23%,32%,44.0612,-88.2235
Lac qui Parle,Midwest,Minnesota,3% below,29%,14%,9%,27%,32%,45.0373,-96.1741
Effingham,Midwest,Illinois,3% below,29%,15%,11%,25%,32%,39.0658,-88.5834
Lake,Midwest,South Dakota,3% below,29%,15%,12%,25%,32%,44.0162,-97.1294
Hamilton,Midwest,Illinois,3% below,29%,17%,14%,27%,32%,38.0852,-88.5391
Morrison,Midwest,Minnesota,3% below,29%,17%,11%,23%,32%,46.0635,-94.2293
Crow Wing,Midwest,Minnesota,3% below,29%,17%,12%,21%,32%,46.4798,-94.0703
Washington,Midwest,Oklahoma,3% below,29%,18%,15%,29%,32%,36.7061,-95.9052
Ellis,Midwest,Kansas,3% below,29%,20%,14%,26%,32%,38.9163,-99.3172
Hughes,Midwest,South Dakota,3% below,29%,15%,11%,22%,32%,44.3239,-99.9126
Burleigh,Midwest,North Dakota,3% below,29%,15%,6%,21%,32%,46.9823,-100.5255
Foster,Midwest,North Dakota,3% below,29%,16%,7%,34%,32%,47.457,-98.8831
Crawford,Midwest,Wisconsin,3% below,29%,16%,13%,22%,32%,43.2104,-90.8849
Becker,Midwest,Minnesota,3% below,29%,17%,11%,25%,32%,46.9277,-95.6682
Johnson,Midwest,Missouri,3% below,29%,21%,17%,26%,32%,38.7483,-93.8131
Washington,Midwest,Wisconsin,2% below,30%,14%,10%,20%,32%,43.3686,-88.2293
Marathon,Midwest,Wisconsin,2% below,30%,16%,11%,25%,32%,44.8951,-89.7693
Iowa,Midwest,Iowa,2% below,30%,16%,11%,23%,32%,41.6805,-92.067
Mower,Midwest,Minnesota,2% below,30%,17%,10%,26%,32%,43.6783,-92.7495
Potter,Midwest,South Dakota,2% below,30%,14%,11%,32%,32%,45.0726,-99.9482
Edmunds,Midwest,South Dakota,2% below,30%,14%,11%,26%,32%,45.3854,-99.2152
Pope,Midwest,Minnesota,2% below,30%,15%,9%,28%,32%,45.5997,-95.4491
Big Stone,Midwest,Minnesota,2% below,30%,15%,10%,22%,32%,45.3816,-96.333
Buffalo,Midwest,Nebraska,2% below,30%,15%,13%,24%,32%,40.8486,-99.074
Ford,Midwest,Illinois,2% below,30%,15%,12%,26%,32%,40.6977,-88.1805
Wayne,Midwest,Nebraska,2% below,30%,16%,14%,26%,32%,42.2225,-97.0955
Cottonwood,Midwest,Minnesota,2% below,30%,16%,10%,32%,32%,44.0291,-95.1608
Chippewa,Midwest,Minnesota,2% below,30%,16%,10%,33%,32%,44.9523,-95.5279
Anoka,Midwest,Minnesota,2% below,30%,16%,9%,19%,32%,45.2255,-93.243
Cumberland,Midwest,Illinois,2% below,30%,16%,14%,26%,32%,39.2765,-88.2406
Carroll,Midwest,Iowa,2% below,30%,16%,11%,25%,32%,42.0384,-94.8606
Monona,Midwest,Iowa,2% below,30%,17%,13%,29%,32%,42.0396,-95.9525
Burke,Midwest,North Dakota,2% below,30%,19%,7%,31%,32%,48.7725,-102.546
Clarke,Midwest,Iowa,2% below,30%,19%,12%,28%,32%,41.0282,-93.7857
Payne,Midwest,Oklahoma,2% below,30%,22%,20%,26%,32%,36.0922,-96.9882
Griggs,Midwest,North Dakota,2% below,30%,14%,6%,30%,32%,47.4711,-98.2427
Bowman,Midwest,North Dakota,2% below,30%,15%,5%,30%,32%,46.1134,-103.5206
Billings,Midwest,North Dakota,2% below,30%,16%,5%,32%,32%,46.9806,-103.3627
Polk,Midwest,Wisconsin,2% below,30%,16%,12%,21%,32%,45.4696,-92.4193
Dunn,Midwest,Wisconsin,2% below,30%,16%,13%,22%,32%,44.9461,-91.8932
Stanton,Midwest,Kansas,2% below,30%,17%,6%,32%,32%,37.5694,-101.784
Grant,Midwest,Wisconsin,2% below,30%,17%,13%,23%,32%,42.8621,-90.7628
Greene,Midwest,Illinois,2% below,30%,17%,14%,28%,32%,39.322,-90.3808
Adams,Midwest,Nebraska,2% below,30%,17%,12%,25%,32%,40.5222,-98.5011
Johnson,Midwest,Nebraska,2% below,30%,19%,13%,29%,32%,40.4,-96.265
Ward,Midwest,North Dakota,2% below,30%,21%,8%,27%,32%,48.3313,-101.4681
Murray,Midwest,Minnesota,2% below,30%,15%,9%,23%,32%,44.0223,-95.7634
Arthur,Midwest,Nebraska,2% below,30%,15%,15%,29%,32%,41.5697,-101.6961
Wilkin,Midwest,Minnesota,2% below,30%,16%,9%,26%,32%,46.3271,-96.4431
Hamilton,Midwest,Iowa,2% below,30%,16%,13%,28%,32%,42.3873,-93.6974
Custer,Midwest,Oklahoma,2% below,30%,19%,15%,30%,32%,35.6387,-99.0045
Linn,Midwest,Missouri,2% below,30%,21%,16%,30%,32%,39.8713,-93.1084
Trego,Midwest,Kansas,2% below,30%,15%,12%,27%,32%,38.9139,-99.8731
McPherson,Midwest,Kansas,2% below,30%,15%,12%,25%,32%,38.3988,-97.6483
Bureau,Midwest,Illinois,2% below,30%,15%,12%,28%,32%,41.3661,-89.5108
Traverse,Midwest,Minnesota,2% below,30%,16%,9%,26%,32%,45.805,-96.4285
Faulk,Midwest,South Dakota,2% below,30%,16%,11%,31%,32%,45.0748,-99.1452
Sangamon,Midwest,Illinois,2% below,30%,16%,14%,25%,32%,39.7498,-89.7053
Red Willow,Midwest,Nebraska,2% below,30%,17%,13%,24%,32%,40.1821,-100.4778
Russell,Midwest,Kansas,2% below,30%,17%,14%,23%,32%,38.9163,-98.7621
Cleveland,Midwest,Oklahoma,2% below,30%,19%,15%,25%,32%,35.152,-97.2848
Atchison,Midwest,Kansas,2% below,30%,19%,17%,28%,32%,39.5364,-95.3379
Polk,Midwest,Nebraska,2% below,30%,15%,11%,30%,32%,41.222,-97.5724
Grant,Midwest,Minnesota,2% below,30%,15%,10%,27%,32%,45.9343,-96.0116
Graham,Midwest,Kansas,2% below,30%,15%,13%,27%,32%,39.3498,-99.883
Platte,Midwest,Nebraska,2% below,30%,16%,11%,25%,32%,41.5439,-97.5414
Knox,Midwest,Nebraska,2% below,30%,16%,13%,32%,32%,42.662,-97.8954
Waseca,Midwest,Minnesota,2% below,30%,16%,10%,23%,32%,44.0251,-93.5872
Clark,Midwest,Kansas,2% below,30%,18%,12%,28%,32%,37.2305,-99.8179
Cole,Midwest,Missouri,2% below,30%,20%,15%,23%,32%,38.5307,-92.2447
Thayer,Midwest,Nebraska,2% below,30%,15%,12%,30%,32%,40.1835,-97.5949
Jewell,Midwest,Kansas,2% below,30%,16%,13%,30%,32%,39.7907,-98.2187
Chisago,Midwest,Minnesota,2% below,30%,16%,9%,23%,32%,45.5139,-92.8742
Linn,Midwest,Iowa,2% below,30%,16%,12%,22%,32%,42.0798,-91.5998
Chase,Midwest,Kansas,2% below,30%,16%,14%,29%,32%,38.3061,-96.5966
Codington,Midwest,South Dakota,2% below,30%,17%,12%,23%,32%,44.9775,-97.1883
Loup,Midwest,Nebraska,2% below,30%,17%,15%,33%,32%,41.913,-99.4544
Taylor,Midwest,Iowa,2% below,30%,17%,12%,24%,32%,40.734,-94.7
Tripp,Midwest,South Dakota,2% below,30%,18%,14%,26%,32%,43.3729,-99.874
Oklahoma,Midwest,Oklahoma,2% below,30%,18%,17%,29%,32%,35.553,-97.4075
Sheridan,Midwest,Nebraska,2% below,30%,18%,14%,32%,32%,42.5043,-102.4198
Phelps,Midwest,Missouri,2% below,30%,21%,17%,31%,32%,37.8779,-91.7751
Craig,Midwest,Oklahoma,2% below,30%,23%,17%,32%,32%,36.7555,-95.2156
Watonwan,Midwest,Minnesota,2% below,30%,15%,8%,25%,32%,43.9851,-94.6141
Jones,Midwest,South Dakota,2% below,30%,15%,12%,28%,32%,43.9467,-100.7155
Oneida,Midwest,Wisconsin,2% below,30%,15%,12%,24%,32%,45.6879,-89.5447
Hamilton,Midwest,Nebraska,2% below,30%,15%,11%,23%,32%,40.9375,-98.0167
Walsh,Midwest,North Dakota,2% below,30%,15%,7%,32%,32%,48.3689,-97.7238
Nicollet,Midwest,Minnesota,2% below,30%,16%,9%,17%,32%,44.3061,-94.2046
Renville,Midwest,North Dakota,2% below,30%,16%,6%,31%,32%,48.7301,-101.7591
Stutsman,Midwest,North Dakota,2% below,30%,17%,8%,29%,32%,46.9802,-98.957
Bottineau,Midwest,North Dakota,2% below,30%,17%,7%,28%,32%,48.7699,-100.8398
Tulsa,Midwest,Oklahoma,2% below,30%,18%,17%,29%,32%,36.1403,-96.0299
Hand,Midwest,South Dakota,2% below,30%,14%,11%,29%,32%,44.538,-99.0009
Wabasha,Midwest,Minnesota,2% below,30%,14%,9%,19%,32%,44.2807,-92.2277
Marshall,Midwest,Minnesota,2% below,30%,14%,10%,25%,32%,48.359,-96.3698
Hayes,Midwest,Nebraska,2% below,30%,15%,12%,32%,32%,40.5333,-101.0637
McPherson,Midwest,South Dakota,2% below,30%,15%,13%,28%,32%,45.7725,-99.2213
Sauk,Midwest,Wisconsin,2% below,30%,16%,11%,27%,32%,43.3945,-89.8965
Allamakee,Midwest,Iowa,2% below,30%,16%,12%,25%,32%,43.2887,-91.3442
Kearny,Midwest,Kansas,2% below,30%,17%,9%,27%,32%,38.0015,-101.3222
Randolph,Midwest,Illinois,2% below,30%,17%,14%,25%,32%,38.0133,-89.8253
Dunn,Midwest,North Dakota,2% below,30%,20%,5%,36%,32%,47.4051,-102.6524
Kiowa,Midwest,Oklahoma,2% below,30%,23%,17%,33%,32%,34.8597,-98.9635
Adair,Midwest,Missouri,2% below,30%,24%,18%,28%,32%,40.1904,-92.6009
Piatt,Midwest,Illinois,2% below,30%,14%,11%,25%,32%,40.0383,-88.6044
Calhoun,Midwest,Illinois,2% below,30%,15%,13%,30%,32%,39.1343,-90.6554
Brown,Midwest,South Dakota,2% below,30%,15%,11%,23%,32%,45.5899,-98.3509
Lyon,Midwest,Iowa,2% below,30%,15%,10%,27%,32%,43.3789,-96.1922
Sanborn,Midwest,South Dakota,2% below,30%,15%,11%,28%,32%,44.0181,-98.0913
Nelson,Midwest,North Dakota,2% below,30%,16%,6%,28%,32%,47.9367,-98.2038
McClain,Midwest,Oklahoma,2% below,30%,17%,13%,28%,32%,35.0959,-97.5356
Perry,Midwest,Illinois,2% below,30%,17%,16%,24%,32%,38.0848,-89.356
Woodson,Midwest,Kansas,2% below,30%,19%,16%,29%,32%,37.8865,-95.7388
Clearwater,Midwest,Minnesota,2% below,30%,19%,14%,24%,32%,47.5919,-95.3691
Christian,Midwest,Missouri,2% below,30%,20%,13%,24%,32%,36.955,-93.122
Moniteau,Midwest,Missouri,2% below,30%,20%,14%,26%,32%,38.672,-92.6281
Jackson,Midwest,Missouri,2% below,30%,21%,18%,24%,32%,39.039,-94.3583
Lawrence,Midwest,Missouri,2% below,30%,21%,15%,25%,32%,37.1077,-93.8331
Union,Midwest,South Dakota,1% below,31%,14%,10%,25%,32%,42.7825,-96.7134
Warren,Midwest,Iowa,1% below,31%,15%,11%,29%,32%,41.3336,-93.5592
Fillmore,Midwest,Nebraska,1% below,31%,15%,11%,29%,32%,40.5318,-97.5965
Spink,Midwest,South Dakota,1% below,31%,15%,12%,25%,32%,44.9383,-98.3497
Mitchell,Midwest,Iowa,1% below,31%,15%,11%,25%,32%,43.3501,-92.7891
Fall River,Midwest,South Dakota,1% below,31%,16%,14%,25%,32%,43.2398,-103.5275
Pierce,Midwest,Wisconsin,1% below,31%,16%,11%,23%,32%,44.7034,-92.4259
Nance,Midwest,Nebraska,1% below,31%,16%,12%,23%,32%,41.3988,-97.9976
Ness,Midwest,Kansas,1% below,31%,16%,11%,27%,32%,38.4805,-99.9165
