_ask_data_enablement,_certified,_certification_note,_connections,_content_url,_created_at,_datasource_type,_description,_encrypt_extracts,_has_extracts,_id,_initial_tags,_project_name,_updated_at,_use_remote_query_agent,_webpage_url,name,owner_id,_project_id,tags,_permissions,_data_quality_warnings
,False,,,Extractdatasource,2022-04-11 00:29:43+00:00,postgres,,False,True,1c0dd60b-327a-4898-a481-8fd0eb367963,set(),Kyle,2022-04-11 00:29:43+00:00,False,https://10ax.online.tableau.com/#/site/kjmdev797388/datasources/1600656,Extract datasource,9ac19678-6f50-4e21-84d9-b77def14d0cd,830ab4f5-638a-4473-98ac-cbadb9c35f64,set(),,
,False,,,ExtractDatasource2,2022-04-11 00:39:52+00:00,postgres,,False,True,1c48cb9c-f2d5-4f50-a6fa-dd1232c3dff0,set(),Kyle,2022-04-11 00:41:42+00:00,False,https://10ax.online.tableau.com/#/site/kjmdev797388/datasources/1600658,Extract Datasource 2,9ac19678-6f50-4e21-84d9-b77def14d0cd,830ab4f5-638a-4473-98ac-cbadb9c35f64,set(),,
