_connections,_content_url,_webpage_url,_created_at,_id,_initial_tags,_pdf,_preview_image,_project_name,_size,_updated_at,_views,name,_description,owner_id,_project_id,_show_tabs,tags,_data_acceleration_config,_permissions
,Extractworkbook,https://10ax.online.tableau.com/#/site/kjmdev797388/workbooks/99533,2022-04-11 00:20:42+00:00,31fe6a65-5165-402b-ba61-e444f60b17f0,set(),,,Kyle,3,2022-04-11 00:25:22+00:00,,Extract workbook,,9ac19678-6f50-4e21-84d9-b77def14d0cd,830ab4f5-638a-4473-98ac-cbadb9c35f64,False,set(),"{'acceleration_enabled': False, 'accelerate_now': None, 'last_updated_at': None, 'acceleration_status': None}",
,Extractworkbook2,https://10ax.online.tableau.com/#/site/kjmdev797388/workbooks/99534,2022-04-11 00:27:04+00:00,6d901061-ba09-4118-aa3d-c134f614d294,set(),,,Kyle,3,2022-04-11 00:27:04+00:00,,Extract workbook 2,,9ac19678-6f50-4e21-84d9-b77def14d0cd,830ab4f5-638a-4473-98ac-cbadb9c35f64,False,set(),"{'acceleration_enabled': False, 'accelerate_now': None, 'last_updated_at': None, 'acceleration_status': None}",
